story_id,source_order,title_en,title_zh,word_count,story_type,theme_category,one_sentence_summary,possible_foreshadowing
chekhov_a_happy_man_01,20,A HAPPY MAN,幸福的人,1778,家庭与婚恋,家庭、饮酒、爱情/浪漫,《幸福的人》写婚恋、亲属关系或家庭身份中的错位，以家庭和饮酒为主要线索，呈现契诃夫式的家庭和婚恋。,窗户、黑暗等开篇意象（候选）
chekhov_a_troublesome_visitor_01,21,A TROUBLESOME VISITOR,麻烦的来客,2373,乡村与自然,贫困/阶级、宗教/信仰、自然/风景,《麻烦的来客》写乡村空间、自然景物和底层生活交织的经验，以贫困/阶级和宗教/信仰为主要线索，呈现契诃夫式的乡村和自然。,金钱、狗、风等开篇意象（候选）
chekhov_an_actor_s_end_01,22,AN ACTOR'S END,演员的结局,2352,艺术与自我意识,饮酒、疾病/医学、艺术/创作,《演员的结局》写表演、写作、审美或自我想象中的落差，以饮酒和疾病/医学为主要线索，呈现契诃夫式的艺术和自我意识。,金钱、窗户、黑暗等开篇意象（候选）
chekhov_the_schoolmaster_01,23,THE SCHOOLMASTER,教师,2750,家庭与婚恋,家庭、爱情/浪漫、饮酒,《教师》写婚恋、亲属关系或家庭身份中的错位，以家庭和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,狗、灯火等开篇意象（候选）
chekhov_enemies_01,24,ENEMIES,仇敌,5301,医病与死亡,疾病/医学、家庭、死亡,《仇敌》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和家庭为主要线索，呈现契诃夫式的医病和死亡。,狗、医生、灯火等开篇意象（候选）
chekhov_the_examining_magistrate_01,25,THE EXAMINING MAGISTRATE,预审法官,1892,医病与死亡,死亡、疾病/医学、家庭,《预审法官》写疾病、衰老、死亡或精神压力引出的遭遇，以死亡和疾病/医学为主要线索，呈现契诃夫式的医病和死亡。,马、医生、道路等开篇意象（候选）
chekhov_betrothed_01,26,BETROTHED,未婚妻,7506,家庭与婚恋,家庭、自然/风景、宗教/信仰,《未婚妻》写婚恋、亲属关系或家庭身份中的错位，以家庭和自然/风景为主要线索，呈现契诃夫式的家庭和婚恋。,窗户、花园、灯火等开篇意象（候选）
chekhov_from_the_diary_of_a_violent_tempered_man_01,27,FROM THE DIARY OF A VIOLENT-TEMPERED MAN,暴躁人的日记,3794,家庭与婚恋,爱情/浪漫、自然/风景、宗教/信仰,《暴躁人的日记》写婚恋、亲属关系或家庭身份中的错位，以爱情/浪漫和自然/风景为主要线索，呈现契诃夫式的家庭和婚恋。,信件、狗等开篇意象（候选）
chekhov_in_the_dark_01,28,IN THE DARK,在黑暗中,1638,医病与死亡,家庭、死亡、自然/风景,《在黑暗中》写疾病、衰老、死亡或精神压力引出的遭遇，以家庭和死亡为主要线索，呈现契诃夫式的医病和死亡。,马、窗户、花园等开篇意象（候选）
chekhov_a_play_01,29,A PLAY,一出戏,1840,艺术与自我意识,爱情/浪漫、家庭、疾病/医学,《一出戏》写表演、写作、审美或自我想象中的落差，以爱情/浪漫和家庭为主要线索，呈现契诃夫式的艺术和自我意识。,灯火等开篇意象（候选）
chekhov_a_mystery_01,30,A MYSTERY,神秘,1549,犯罪与悬疑,官僚/社会、家庭、宗教/信仰,《神秘》写罪案、秘密、恐惧或道德试探推动的事件，以官僚/社会和家庭为主要线索，呈现契诃夫式的犯罪和悬疑。,官僚/社会相关反复细节（候选）
chekhov_strong_impressions_01,31,STRONG IMPRESSIONS,强烈的印象,1971,艺术与自我意识,家庭、爱情/浪漫、官僚/社会,《强烈的印象》写表演、写作、审美或自我想象中的落差，以家庭和爱情/浪漫为主要线索，呈现契诃夫式的艺术和自我意识。,风、法庭、灯火等开篇意象（候选）
chekhov_drunk_01,32,DRUNK,醉,2189,儿童与动物,饮酒、贫困/阶级、家庭,《醉》写童年视角、动物遭遇或弱小者经验，以饮酒和贫困/阶级为主要线索，呈现契诃夫式的儿童和动物。,金钱、坟墓、黑暗等开篇意象（候选）
chekhov_the_marshal_s_widow_01,33,THE MARSHAL'S WIDOW,贵族长的遗孀,1510,艺术与自我意识,家庭、饮酒、官僚/社会,《贵族长的遗孀》写表演、写作、审美或自我想象中的落差，以家庭和饮酒为主要线索，呈现契诃夫式的艺术和自我意识。,医生等开篇意象（候选）
chekhov_a_bad_business_01,34,A BAD BUSINESS,一件糟糕的事,1914,艺术与自我意识,宗教/信仰、自然/风景、死亡,《一件糟糕的事》写表演、写作、审美或自我想象中的落差，以宗教/信仰和自然/风景为主要线索，呈现契诃夫式的艺术和自我意识。,风、道路、火柴等开篇意象（候选）
chekhov_in_the_court_01,35,IN THE COURT,在法庭上,2627,官僚与社会讽刺,官僚/社会、疾病/医学、死亡,《在法庭上》写制度、身份和日常权力造成的荒诞处境，以官僚/社会和疾病/医学为主要线索，呈现契诃夫式的官僚和社会讽刺。,法庭、教堂、枪等开篇意象（候选）
chekhov_boots_01,36,BOOTS,靴子,1527,家庭与婚恋,艺术/创作、家庭、宗教/信仰,《靴子》写婚恋、亲属关系或家庭身份中的错位，以艺术/创作和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,风等开篇意象（候选）
chekhov_joy_01,37,JOY,喜悦,666,儿童与动物,官僚/社会、家庭、宗教/信仰,《喜悦》写童年视角、动物遭遇或弱小者经验，以官僚/社会和家庭为主要线索，呈现契诃夫式的儿童和动物。,马、医生等开篇意象（候选）
chekhov_ladies_01,38,LADIES,太太们,1349,家庭与婚恋,官僚/社会、家庭、宗教/信仰,《太太们》写婚恋、亲属关系或家庭身份中的错位，以官僚/社会和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,官僚/社会相关反复细节（候选）
chekhov_a_peculiar_man_01,39,A PECULIAR MAN,怪人,1607,家庭与婚恋,家庭、宗教/信仰、贫困/阶级,《怪人》写婚恋、亲属关系或家庭身份中的错位，以家庭和宗教/信仰为主要线索，呈现契诃夫式的家庭和婚恋。,雪、灯火等开篇意象（候选）
chekhov_at_the_barber_s_01,40,AT THE BARBER'S,在理发店,1224,家庭与婚恋,贫困/阶级、爱情/浪漫、疾病/医学,《在理发店》写婚恋、亲属关系或家庭身份中的错位，以贫困/阶级和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、医生、火柴等开篇意象（候选）
chekhov_an_inadvertence_01,41,AN INADVERTENCE,疏忽,1503,医病与死亡,饮酒、死亡、疾病/医学,《疏忽》写疾病、衰老、死亡或精神压力引出的遭遇，以饮酒和死亡为主要线索，呈现契诃夫式的医病和死亡。,金钱、黑暗等开篇意象（候选）
chekhov_the_album_01,42,THE ALBUM,纪念册,763,官僚与社会讽刺,家庭、爱情/浪漫、贫困/阶级,《纪念册》写制度、身份和日常权力造成的荒诞处境，以家庭和爱情/浪漫为主要线索，呈现契诃夫式的官僚和社会讽刺。,信件等开篇意象（候选）
chekhov_oh_the_public_01,43,OH! THE PUBLIC,哦！公众,1225,官僚与社会讽刺,饮酒、宗教/信仰、爱情/浪漫,《哦！公众》写制度、身份和日常权力造成的荒诞处境，以饮酒和宗教/信仰为主要线索，呈现契诃夫式的官僚和社会讽刺。,票券等开篇意象（候选）
chekhov_a_tripping_tongue_01,44,A TRIPPING TONGUE,祸从口出,1261,家庭与婚恋,家庭、宗教/信仰、爱情/浪漫,《祸从口出》写婚恋、亲属关系或家庭身份中的错位，以家庭和宗教/信仰为主要线索，呈现契诃夫式的家庭和婚恋。,马、教堂等开篇意象（候选）
chekhov_overdoing_it_01,45,OVERDOING IT,过分,1633,乡村与自然,自然/风景、宗教/信仰、官僚/社会,《过分》写乡村空间、自然景物和底层生活交织的经验，以自然/风景和宗教/信仰为主要线索，呈现契诃夫式的乡村和自然。,狗、马、法庭等开篇意象（候选）
chekhov_the_orator_01,46,THE ORATOR,演说家,1252,官僚与社会讽刺,死亡、官僚/社会、家庭,《演说家》写制度、身份和日常权力造成的荒诞处境，以死亡和官僚/社会为主要线索，呈现契诃夫式的官僚和社会讽刺。,坟墓、棺材、教堂等开篇意象（候选）
chekhov_malingerers_01,47,MALINGERERS,装病者,1379,医病与死亡,家庭、疾病/医学、贫困/阶级,《装病者》写疾病、衰老、死亡或精神压力引出的遭遇，以家庭和疾病/医学为主要线索，呈现契诃夫式的医病和死亡。,金钱、坟墓、医生等开篇意象（候选）
chekhov_in_the_graveyard_01,48,IN THE GRAVEYARD,在墓园,883,艺术与自我意识,死亡、艺术/创作、官僚/社会,《在墓园》写表演、写作、审美或自我想象中的落差，以死亡和艺术/创作为主要线索，呈现契诃夫式的艺术和自我意识。,金钱、雨、风等开篇意象（候选）
chekhov_hush_01,49,HUSH!,嘘！,1104,家庭与婚恋,家庭、艺术/创作、宗教/信仰,《嘘！》写婚恋、亲属关系或家庭身份中的错位，以家庭和艺术/创作为主要线索，呈现契诃夫式的家庭和婚恋。,坟墓、灯火等开篇意象（候选）
chekhov_in_an_hotel_01,50,IN AN HOTEL,在旅馆里,1006,家庭与婚恋,家庭、贫困/阶级、宗教/信仰,《在旅馆里》写婚恋、亲属关系或家庭身份中的错位，以家庭和贫困/阶级为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、窗户、法庭等开篇意象（候选）
chekhov_in_a_strange_land_01,51,IN A STRANGE LAND,在异乡,1475,儿童与动物,家庭、饮酒、宗教/信仰,《在异乡》写童年视角、动物遭遇或弱小者经验，以家庭和饮酒为主要线索，呈现契诃夫式的儿童和动物。,火柴等开篇意象（候选）
chekhov_the_party_01,52,THE PARTY,宴会,12558,艺术与自我意识,家庭、自然/风景、疾病/医学,《宴会》写表演、写作、审美或自我想象中的落差，以家庭和自然/风景为主要线索，呈现契诃夫式的艺术和自我意识。,雨、花园等开篇意象（候选）
chekhov_terror_01,53,TERROR,恐惧,4981,家庭与婚恋,爱情/浪漫、家庭、自然/风景,《恐惧》写婚恋、亲属关系或家庭身份中的错位，以爱情/浪漫和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,教堂、花园等开篇意象（候选）
chekhov_a_woman_s_kingdom_01,54,A WOMAN'S KINGDOM,女人的王国,16008,家庭与婚恋,爱情/浪漫、家庭、贫困/阶级,《女人的王国》写婚恋、亲属关系或家庭身份中的错位，以爱情/浪漫和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,信件、金钱等开篇意象（候选）
chekhov_a_problem_01,55,A PROBLEM,难题,2635,官僚与社会讽刺,家庭、贫困/阶级、宗教/信仰,《难题》写制度、身份和日常权力造成的荒诞处境，以家庭和贫困/阶级为主要线索，呈现契诃夫式的官僚和社会讽刺。,金钱等开篇意象（候选）
chekhov_the_kiss_01,56,THE KISS,吻,7450,家庭与婚恋,自然/风景、家庭、爱情/浪漫,《吻》写婚恋、亲属关系或家庭身份中的错位，以自然/风景和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,马、教堂、花园等开篇意象（候选）
chekhov_anna_on_the_neck_01,57,'ANNA ON THE NECK',脖子上的安娜,5207,家庭与婚恋,家庭、贫困/阶级、饮酒,《脖子上的安娜》写婚恋、亲属关系或家庭身份中的错位，以家庭和贫困/阶级为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、窗户、教堂等开篇意象（候选）
chekhov_the_teacher_of_literature_01,58,THE TEACHER OF LITERATURE,文学教师,8995,艺术与自我意识,爱情/浪漫、自然/风景、家庭,《文学教师》写表演、写作、审美或自我想象中的落差，以爱情/浪漫和自然/风景为主要线索，呈现契诃夫式的艺术和自我意识。,马、医生、花园等开篇意象（候选）
chekhov_not_wanted_01,59,NOT WANTED,多余的人,2319,家庭与婚恋,家庭、饮酒、宗教/信仰,《多余的人》写婚恋、亲属关系或家庭身份中的错位，以家庭和饮酒为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、票券、窗户等开篇意象（候选）
chekhov_typhus_01,60,TYPHUS,伤寒,2503,医病与死亡,疾病/医学、家庭、饮酒,《伤寒》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和家庭为主要线索，呈现契诃夫式的医病和死亡。,疾病/医学相关反复细节（候选）
chekhov_a_misfortune_01,61,A MISFORTUNE,不幸,4989,家庭与婚恋,家庭、爱情/浪漫、宗教/信仰,《不幸》写婚恋、亲属关系或家庭身份中的错位，以家庭和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,教堂、枪等开篇意象（候选）
chekhov_a_trifle_from_life_01,62,A TRIFLE FROM LIFE,生活琐事,1917,家庭与婚恋,家庭、爱情/浪漫、宗教/信仰,《生活琐事》写婚恋、亲属关系或家庭身份中的错位，以家庭和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,家庭相关反复细节（候选）
chekhov_the_cook_s_wedding_01,63,THE COOK'S WEDDING,厨娘的婚礼,1909,家庭与婚恋,饮酒、爱情/浪漫、贫困/阶级,《厨娘的婚礼》写婚恋、亲属关系或家庭身份中的错位，以饮酒和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,马、坟墓等开篇意象（候选）
chekhov_sleepy_01,64,SLEEPY,渴睡,2280,医病与死亡,疾病/医学、家庭、死亡,《渴睡》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和家庭为主要线索，呈现契诃夫式的医病和死亡。,马、风、医生等开篇意象（候选）
chekhov_children_01,65,CHILDREN,孩子们,1926,儿童与动物,贫困/阶级、家庭、宗教/信仰,《孩子们》写童年视角、动物遭遇或弱小者经验，以贫困/阶级和家庭为主要线索，呈现契诃夫式的儿童和动物。,金钱、马等开篇意象（候选）
chekhov_the_runaway_01,66,THE RUNAWAY,逃犯,2913,医病与死亡,疾病/医学、家庭、自然/风景,《逃犯》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和家庭为主要线索，呈现契诃夫式的医病和死亡。,雨、风、窗户等开篇意象（候选）
chekhov_grisha_01,67,GRISHA,格里沙,1197,儿童与动物,自然/风景、饮酒、宗教/信仰,《格里沙》写童年视角、动物遭遇或弱小者经验，以自然/风景和饮酒为主要线索，呈现契诃夫式的儿童和动物。,雪、黑暗等开篇意象（候选）
chekhov_oysters_01,68,OYSTERS,牡蛎,1484,儿童与动物,家庭、疾病/医学、宗教/信仰,《牡蛎》写童年视角、动物遭遇或弱小者经验，以家庭和疾病/医学为主要线索，呈现契诃夫式的儿童和动物。,窗户、黑暗等开篇意象（候选）
chekhov_home_01,69,HOME,家里,3589,儿童与动物,家庭、艺术/创作、自然/风景,《家里》写童年视角、动物遭遇或弱小者经验，以家庭和艺术/创作为主要线索，呈现契诃夫式的儿童和动物。,坟墓、法庭、灯火等开篇意象（候选）
chekhov_a_classical_student_01,70,A CLASSICAL STUDENT,古典中学生,1084,家庭与婚恋,家庭、宗教/信仰、爱情/浪漫,《古典中学生》写婚恋、亲属关系或家庭身份中的错位，以家庭和宗教/信仰为主要线索，呈现契诃夫式的家庭和婚恋。,黑暗等开篇意象（候选）
chekhov_vanka_02,72,VANKA,万卡,1617,儿童与动物,家庭、死亡、自然/风景,《万卡》写童年视角、动物遭遇或弱小者经验，以家庭和死亡为主要线索，呈现契诃夫式的儿童和动物。,信件、雪、教堂等开篇意象（候选）
chekhov_an_incident_01,73,AN INCIDENT,事件,1922,儿童与动物,家庭、死亡、疾病/医学,《事件》写童年视角、动物遭遇或弱小者经验，以家庭和死亡为主要线索，呈现契诃夫式的儿童和动物。,家庭相关反复细节（候选）
chekhov_a_day_in_the_country_01,74,A DAY IN THE COUNTRY,乡间一日,2331,乡村与自然,自然/风景、宗教/信仰、家庭,《乡间一日》写乡村空间、自然景物和底层生活交织的经验，以自然/风景和宗教/信仰为主要线索，呈现契诃夫式的乡村和自然。,雨、风、道路等开篇意象（候选）
chekhov_boys_01,75,BOYS,男孩们,2363,儿童与动物,家庭、自然/风景、爱情/浪漫,《男孩们》写童年视角、动物遭遇或弱小者经验，以家庭和自然/风景为主要线索，呈现契诃夫式的儿童和动物。,狗、雪、黑暗等开篇意象（候选）
chekhov_shrove_tuesday_01,76,SHROVE TUESDAY,谢肉节,1842,家庭与婚恋,家庭、艺术/创作、爱情/浪漫,《谢肉节》写婚恋、亲属关系或家庭身份中的错位，以家庭和艺术/创作为主要线索，呈现契诃夫式的家庭和婚恋。,窗户等开篇意象（候选）
chekhov_the_old_house_01,77,THE OLD HOUSE,老房子,2404,家庭与婚恋,家庭、饮酒、死亡,《老房子》写婚恋、亲属关系或家庭身份中的错位，以家庭和饮酒为主要线索，呈现契诃夫式的家庭和婚恋。,坟墓、棺材、黑暗等开篇意象（候选）
chekhov_in_passion_week_01,78,IN PASSION WEEK,受难周,1934,宗教与哲思,宗教/信仰、家庭、爱情/浪漫,《受难周》写信仰、良知和人生意义上的困惑，以宗教/信仰和家庭为主要线索，呈现契诃夫式的宗教和哲思。,马、教堂等开篇意象（候选）
chekhov_whitebrow_01,79,WHITEBROW,白额头,2225,儿童与动物,自然/风景、家庭、死亡,《白额头》写童年视角、动物遭遇或弱小者经验，以自然/风景和家庭为主要线索，呈现契诃夫式的儿童和动物。,狗、雪、风等开篇意象（候选）
chekhov_kashtanka_01,80,KASHTANKA,卡什坦卡,7671,儿童与动物,饮酒、贫困/阶级、宗教/信仰,《卡什坦卡》写童年视角、动物遭遇或弱小者经验，以饮酒和贫困/阶级为主要线索，呈现契诃夫式的儿童和动物。,狗、道路、黑暗等开篇意象（候选）
chekhov_a_chameleon_01,81,A CHAMELEON,变色龙,1253,医病与死亡,官僚/社会、自然/风景、宗教/信仰,《变色龙》写疾病、衰老、死亡或精神压力引出的遭遇，以官僚/社会和自然/风景为主要线索，呈现契诃夫式的医病和死亡。,狗、雨、法庭等开篇意象（候选）
chekhov_the_dependents_01,82,THE DEPENDENTS,寄居者,2385,医病与死亡,死亡、饮酒、贫困/阶级,《寄居者》写疾病、衰老、死亡或精神压力引出的遭遇，以死亡和饮酒为主要线索，呈现契诃夫式的医病和死亡。,狗、马、风等开篇意象（候选）
chekhov_who_was_to_blame_01,83,WHO WAS TO BLAME?,谁的错？,1352,犯罪与悬疑,宗教/信仰、家庭、官僚/社会,《谁的错？》写罪案、秘密、恐惧或道德试探推动的事件，以宗教/信仰和家庭为主要线索，呈现契诃夫式的犯罪和悬疑。,火柴等开篇意象（候选）
chekhov_the_bird_market_01,84,THE BIRD MARKET,鸟市,1551,儿童与动物,自然/风景、宗教/信仰、贫困/阶级,《鸟市》写童年视角、动物遭遇或弱小者经验，以自然/风景和宗教/信仰为主要线索，呈现契诃夫式的儿童和动物。,金钱、坟墓、火柴等开篇意象（候选）
chekhov_an_adventure_01,85,AN ADVENTURE,奇遇,2464,乡村与自然,家庭、贫困/阶级、饮酒,《奇遇》写乡村空间、自然景物和底层生活交织的经验，以家庭和贫困/阶级为主要线索，呈现契诃夫式的乡村和自然。,金钱、马、道路等开篇意象（候选）
chekhov_the_fish_01,86,THE FISH,鱼,1920,儿童与动物,自然/风景、贫困/阶级、家庭,《鱼》写童年视角、动物遭遇或弱小者经验，以自然/风景和贫困/阶级为主要线索，呈现契诃夫式的儿童和动物。,雪等开篇意象（候选）
chekhov_art_01,87,ART,艺术,2221,艺术与自我意识,自然/风景、宗教/信仰、饮酒,《艺术》写表演、写作、审美或自我想象中的落差，以自然/风景和宗教/信仰为主要线索，呈现契诃夫式的艺术和自我意识。,狗、马、雪等开篇意象（候选）
chekhov_the_swedish_match_01,88,THE SWEDISH MATCH,瑞典火柴,7473,犯罪与悬疑,官僚/社会、饮酒、家庭,《瑞典火柴》写罪案、秘密、恐惧或道德试探推动的事件，以官僚/社会和饮酒为主要线索，呈现契诃夫式的犯罪和悬疑。,窗户、花园等开篇意象（候选）
chekhov_the_bishop_01,89,THE BISHOP,主教,6318,宗教与哲思,家庭、宗教/信仰、疾病/医学,《主教》写信仰、良知和人生意义上的困惑，以家庭和宗教/信仰为主要线索，呈现契诃夫式的宗教和哲思。,教堂、花园、道路等开篇意象（候选）
chekhov_the_letter_01,90,THE LETTER,信,4521,艺术与自我意识,家庭、宗教/信仰、艺术/创作,《信》写表演、写作、审美或自我想象中的落差，以家庭和宗教/信仰为主要线索，呈现契诃夫式的艺术和自我意识。,金钱、窗户、坟墓等开篇意象（候选）
chekhov_easter_eve_01,91,EASTER EVE,复活节前夜,4260,宗教与哲思,宗教/信仰、自然/风景、家庭,《复活节前夜》写信仰、良知和人生意义上的困惑，以宗教/信仰和自然/风景为主要线索，呈现契诃夫式的宗教和哲思。,黑暗等开篇意象（候选）
chekhov_a_nightmare_01,92,A NIGHTMARE,噩梦,5280,宗教与哲思,家庭、宗教/信仰、贫困/阶级,《噩梦》写信仰、良知和人生意义上的困惑，以家庭和宗教/信仰为主要线索，呈现契诃夫式的宗教和哲思。,信件、金钱、教堂等开篇意象（候选）
chekhov_the_murder_01,93,THE MURDER,凶杀,12297,犯罪与悬疑,宗教/信仰、饮酒、贫困/阶级,《凶杀》写罪案、秘密、恐惧或道德试探推动的事件，以宗教/信仰和饮酒为主要线索，呈现契诃夫式的犯罪和悬疑。,风、教堂、黑暗等开篇意象（候选）
chekhov_uprooted_01,94,UPROOTED,流离失所,6196,儿童与动物,宗教/信仰、自然/风景、家庭,《流离失所》写童年视角、动物遭遇或弱小者经验，以宗教/信仰和自然/风景为主要线索，呈现契诃夫式的儿童和动物。,马、教堂、灯火等开篇意象（候选）
chekhov_the_steppe_01,95,THE STEPPE,草原,38074,乡村与自然,家庭、自然/风景、宗教/信仰,《草原》写乡村空间、自然景物和底层生活交织的经验，以家庭和自然/风景为主要线索，呈现契诃夫式的乡村和自然。,棺材、教堂等开篇意象（候选）
chekhov_the_duel_01,96,THE DUEL,决斗,39871,家庭与婚恋,家庭、宗教/信仰、爱情/浪漫,《决斗》写婚恋、亲属关系或家庭身份中的错位，以家庭和宗教/信仰为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、医生等开篇意象（候选）
chekhov_excellent_people_01,97,EXCELLENT PEOPLE,好人,4008,医病与死亡,艺术/创作、疾病/医学、死亡,《好人》写疾病、衰老、死亡或精神压力引出的遭遇，以艺术/创作和疾病/医学为主要线索，呈现契诃夫式的医病和死亡。,坟墓、棺材、医生等开篇意象（候选）
